user_id,timestamp,page,element_clicked
U001,2025-06-28T08:15:30,homepage,search_bar
U002,2025-06-28T08:16:05,product_page,add_to_cart_button
U003,2025-06-28T08:17:12,homepage,promo_banner
U001,2025-06-28T08:18:45,product_page,product_image
U004,2025-06-28T08:20:00,checkout,checkout_button
U002,2025-06-28T08:22:30,product_page,add_to_wishlist
U005,2025-06-28T08:23:50,homepage,category_link
U006,2025-06-28T08:25:10,product_page,add_to_cart_button
U007,2025-06-28T08:27:05,product_page,product_description
U001,2025-06-28T08:28:30,homepage,search_button
U003,2025-06-28T08:30:45,category_page,subcategory_link
U008,2025-06-28T08:32:10,homepage,newsletter_signup
U009,2025-06-28T08:35:00,product_page,add_to_cart_button
U002,2025-06-28T08:36:20,checkout,apply_coupon
U010,2025-06-28T08:38:45,product_page,product_image
U005,2025-06-28T08:40:00,homepage,category_link
U006,2025-06-28T08:41:15,product_page,add_to_cart_button
U011,2025-06-28T08:43:30,homepage,search_bar
U012,2025-06-28T08:45:00,checkout,checkout_button
U004,2025-06-28T08:46:30,product_page,product_description
