session_id,user_id,start_time,end_time,page_sequence,drop_off_page
s001,u001,2025-06-28T09:55:00,2025-06-28T10:00:00,"home > product > cart > checkout",checkout
s002,u002,2025-06-28T10:00:00,2025-06-28T10:05:00,"home > product > cart > checkout",none
s003,u003,2025-06-28T10:05:00,2025-06-28T10:10:00,"home > product > cart",cart
s004,u004,2025-06-28T10:10:00,2025-06-28T10:15:00,"home > product > cart > checkout",checkout
s005,u005,2025-06-28T10:15:00,2025-06-28T10:20:00,"home > product > cart > checkout",checkout
s006,u006,2025-06-28T10:20:00,2025-06-28T10:25:00,"home > product > checkout",none
s007,u007,2025-06-28T10:25:00,2025-06-28T10:30:00,"home > product > cart",cart
s008,u008,2025-06-28T10:30:00,2025-06-28T10:35:00,"home > product > cart > checkout",checkout
s009,u009,2025-06-28T10:35:00,2025-06-28T10:40:00,"home > product",product
s010,u010,2025-06-28T10:40:00,2025-06-28T10:45:00,"home > product > cart > checkout",checkout
